MPIO,AÑO,Población_menor,Cantidad,tasa
68013,2019,115,0,0.0
68020,2019,257,0,0.0
68051,2019,601,0,0.0
68077,2019,2319,0,0.0
68079,2019,782,0,0.0
68081,2019,18025,2,11.1
68092,2019,544,0,0.0
68101,2019,751,0,0.0
68121,2019,127,0,0.0
68132,2019,239,0,0.0
68147,2019,355,0,0.0
68152,2019,331,0,0.0
68160,2019,146,0,0.0
68162,2019,573,0,0.0
68167,2019,915,0,0.0
68169,2019,223,0,0.0
68176,2019,210,0,0.0
68179,2019,247,0,0.0
68190,2019,2767,0,0.0
68207,2019,434,0,0.0
68209,2019,326,0,0.0
68211,2019,216,0,0.0
68217,2019,432,0,0.0
68229,2019,1013,0,0.0
68235,2019,1822,0,0.0
68245,2019,135,0,0.0
68250,2019,458,0,0.0
68255,2019,1190,0,0.0
68264,2019,230,0,0.0
68266,2019,234,0,0.0
68271,2019,374,0,0.0
68276,2019,19901,0,0.0
68296,2019,241,0,0.0
68298,2019,357,0,0.0
68307,2019,12640,0,0.0
68318,2019,451,0,0.0
68320,2019,262,0,0.0
68322,2019,168,0,0.0
68324,2019,191,0,0.0
68327,2019,361,0,0.0
68344,2019,182,0,0.0
68368,2019,186,0,0.0
68370,2019,119,0,0.0
68377,2019,433,0,0.0
68385,2019,789,0,0.0
68397,2019,271,0,0.0
68406,2019,3474,0,0.0
68418,2019,1227,0,0.0
68425,2019,159,0,0.0
68432,2019,1451,0,0.0
68444,2019,365,0,0.0
68464,2019,938,0,0.0
68468,2019,221,0,0.0
68498,2019,434,0,0.0
68500,2019,778,0,0.0
68502,2019,261,0,0.0
68522,2019,90,0,0.0
68524,2019,202,0,0.0
68533,2019,424,0,0.0
68547,2019,13258,1,7.54
68549,2019,349,0,0.0
68572,2019,802,0,0.0
68573,2019,878,0,0.0
68575,2019,3435,0,0.0
68615,2019,2256,0,0.0
68655,2019,3523,1,28.38
68669,2019,577,0,0.0
68673,2019,178,0,0.0
68679,2019,4160,0,0.0
68682,2019,159,0,0.0
68684,2019,262,0,0.0
68686,2019,194,0,0.0
68689,2019,2585,0,0.0
68705,2019,181,0,0.0
68720,2019,284,0,0.0
68745,2019,808,0,0.0
68755,2019,2055,0,0.0
68770,2019,674,0,0.0
68773,2019,485,0,0.0
68780,2019,334,0,0.0
68820,2019,643,0,0.0
68855,2019,468,0,0.0
68861,2019,1265,0,0.0
68867,2019,153,0,0.0
68872,2019,546,0,0.0
68895,2019,743,0,0.0
70001,2019,23792,1,4.2
70110,2019,975,0,0.0
70124,2019,1355,0,0.0
70204,2019,756,0,0.0
70215,2019,5383,0,0.0
70221,2019,1493,0,0.0
70230,2019,348,0,0.0
70233,2019,896,0,0.0
70235,2019,2130,0,0.0
70265,2019,1950,0,0.0
70400,2019,1009,0,0.0
70418,2019,2102,0,0.0
70429,2019,3738,0,0.0
70473,2019,1429,0,0.0
70508,2019,1918,0,0.0
70523,2019,1441,1,69.4
70670,2019,4524,0,0.0
70678,2019,2612,0,0.0
70702,2019,1024,0,0.0
70708,2019,5556,1,18.0
70713,2019,5075,1,19.7
70717,2019,1615,0,0.0
70742,2019,2558,0,0.0
70771,2019,2821,0,0.0
